time,{tank1}.tank1.WaterTank1.inFlow,{tank1}.tank1.Tank1WaterLevel,{tank1}.tank1.Tank2WaterLevel,{tank1}.tank1.Tank2OutFlow,{tank1}.tank1.WaterTank2.I1.state,{tank2}.tank2.puddle,{tank2}.tank2.Tank3OutFlow,{tank2}.tank2.level,{controller}.controller.wt3_valve
39.25,1,2.999601149,2.906319625,0.480990861,48.09908607,7.707465391,0,1.793176573,FALSE
39.3,0,2.991431677,2.911899844,0.481874618,48.18746176,7.707465391,0,1.81241671,FALSE
39.35,0,2.964169302,2.910226975,0.482245339,48.22453385,7.707465391,0,1.841326241,FALSE
39.4,1,2.9730781,2.905375062,0.481507533,48.15075329,7.707465391,0,1.860614819,FALSE
39.45,1,3.001443965,2.90813497,0.481354653,48.13546532,7.707465391,0,1.88950773,FALSE
39.5,0,2.993267177,2.913707982,0.482236966,48.22369658,7.707465391,0,1.908762426,FALSE
39.55,0,2.965993883,2.912024356,0.482605531,48.26055311,7.707465391,0,1.937693703,FALSE
39.6,1,2.974895437,2.907165307,0.481866296,48.18662956,7.707465391,0,1.956996696,FALSE
39.65,1,3.00325049,2.909914565,0.481711282,48.17112815,7.707465391,0,1.985911138,FALSE
39.7,0,2.995066531,2.915480512,0.482592178,48.25921784,7.707465391,0,2.005180106,FALSE
39.75,0,2.967782532,2.913786342,0.482958631,48.29586305,7.707465391,0,2.0341327,TRUE
39.8,1,2.976676985,2.908920297,0.482217993,48.22179931,7.74123592,2.734204165,1.951012147,TRUE
39.85,1,3.00502144,2.911659115,0.482060887,48.20608868,7.79320909,2.552590182,1.82142011,TRUE
39.9,0,2.99683045,2.917218136,0.482940396,48.29403958,7.825759563,2.439716193,1.740878017,TRUE
39.95,0,2.969535957,2.915513628,0.483304776,48.33047764,7.871695151,2.281903245,1.62826939,TRUE
40,1,2.978423449,2.910640727,0.482562765,48.25627648,7.900529671,2.183851232,1.558303631,TRUE
40.05,1,3.006757514,2.91336931,0.482403607,48.24036074,7.941312787,2.046649675,1.460402418,TRUE
40.1,0,2.998559632,2.918921541,0.483281756,48.32817557,7.96697068,1.96137567,1.399554505,TRUE
40.15,0,2.971254853,2.9172069,0.483644106,48.36441056,8.003343335,1.842167248,1.31449243,TRUE
40.2,1,2.980135521,2.912327276,0.482900747,48.29007469,8.026280165,1.768105904,1.261645395,TRUE
40.25,1,3.0084594,2.915045826,0.482739579,48.27395788,8.058871473,1.664460451,1.187688395,TRUE
40.3,0,3.000254762,2.920591401,0.483616393,48.36163934,8.079471978,1.600039776,1.141720533,TRUE
